"shop_id","name","alias","province","city","city_pinyin","city_id","area","big_cate","big_cate_id","small_cate","small_cate_id","address","business_area","phone","hours","avg_price","stars","photos","description","tags","map_type","original_latitude","original_longitude","google_longitude","google_latitude","navigation","traffic","atmosphere","characteristics","payment","product_rating","environment_rating","service_rating","all_remarks","very_good_remarks","good_remarks","common_remarks","bad_remarks","very_bad_remarks","recommended_dishes","nearby_shops","is_chains","group_info","card_info"
"10004202","煲好煨","","河北","廊坊","langfang","33","安次区","美食","10","快餐简餐","g210","新华路50号万达广场","明珠美食城","0316-2767671","","45","3.0","http://i2.dpfile.com/pc/7562b98f3d6707609799ba54dcef42fe/28881460_m.jpg","","快餐简餐,明珠美食城","7","39.52252","116.70777","116.70777","39.52252","廊坊餐厅>>安次区>>明珠美食城>>快餐简餐>>煲好煨","","","","","6.3","6.6","6.2","13","3","0","0","0","1","生煎包","","0","￥39 - 价值50元！ 煲好煨代金券",""
"10004231","中心假日——壹号咖啡","","山东","青岛","qingdao","21","市南区","美食","10","其他","g118","徐州路1号假日酒店1楼","浮山所","0532-68090366","","39","3.0","http://i1.dpfile.com/pc/1512c8916dc8933c2a550c98cc141931/28030653_m.jpg","","咖啡厅,浮山所,可以刷卡,有下午茶,休闲小憩,随便吃吃","7","36.06754","120.38838","120.38838","36.06754","青岛餐厅>>市南区>>浮山所>>其他>>咖啡厅>>中心假日——壹号咖啡","","","","","6.3","6.3","7.1","11","0","3","0","0","0","歌剧蛋糕,德式芝士,核桃派,榴莲慕斯,水果丹麦蛋糕,胡萝卜蛋糕,抹茶杏酱慕斯,提拉米苏杯","","0","￥29.8 - 价值51元！ 中心假日酒店单人甜点套餐",""
"10004260","元始纸上烤肉(东城汇店)","","江苏","南京","nanjing","5","栖霞区","美食","10","小吃快餐","g112","栖霞区文苑路仙林东城汇","","025-68128663,15261855387","11:00-22:00","42","2.0","http://i2.dpfile.com/pc/37700d2fafb452e02cede13dc9b68b9c/44571550_m.jpg","","烧烤,无线上网,朋友聚餐,免费停车,情侣约会,有生日优惠,家庭聚会,休闲小憩,可以刷卡,可自带酒水","7","32.09708","118.90738","118.90738","32.09708","南京餐厅>>栖霞区>>小吃快餐>>烧烤>>元始纸上烤肉(东城汇店)","","","","","5.6","6.3","6.3","34","0","0","3","0","0","金针菇,培根,鱿鱼须,五花肉,肥牛,烤肉,鱿鱼,羊肉卷,韭菜,小馒头,生菜,里脊肉,掌中宝,洋葱,水饺,烤鸡蛋,千叶豆腐","","1","￥49 - 价值59元！ 元始纸上烤肉单人自助餐位","到店消费立减5元"
"10004274","天泰轩酒店","","河南","郑州","zhengzhou","160","金水区","美食","10","豫菜","g1080","金水路与英协路交叉口向南500米(近天佑小区)","曼哈顿/英协路","0371-68818808,68818889","午餐10:00——14:00晚餐17:00——21:30","60","3.0","http://i2.dpfile.com/pc/8395bee275ea030006d29099f11a1077/44919604_m.jpg","","豫菜,曼哈顿/英协路,免费停车,无线上网,可以刷卡,朋友聚餐,商务宴请,可办大型宴会,家庭聚会,情侣约会,有景观位,可自带酒水","7","34.76232","113.71827","113.71827","34.76232","郑州餐厅>>金水区>>曼哈顿/英协路>>豫菜>>天泰轩酒店","","","","","6.4","6.6","6.3","65","1","2","0","0","0","酥不腻烤鸭,烤鸭,糯米排骨,红油小鹿肉,葱烧海参,三色蒸菜,北京小吃,拔丝苹果,干锅西兰花,番茄脆菇沙拉,蒲公英糖葫芦,小酥肉,奇妙虾球,驴打滚,有机花菜,两吃香椿多宝鱼,红花汁豆腐,豌豆黄,烤包子,上汤苋菜,龙虾白菜汤,西红柿炖牛腩,冬笋鹅肝,软兜,雪菜冬笋","","0","",""
"10004291","香蒸府","","四川","成都","chengdu","8","武侯区","美食","10","川菜","g102","科华中路142号","科华北路","028-85595038","每天 10:05 - 22:00","53","3.5","http://i1.dpfile.com/pc/c48b7a234e52f09d49ee169b6f2304cb/38380650_m.jpg","","川菜,科华北路,无线上网,朋友聚餐,休闲小憩,家庭聚会,免费停车,情侣约会,随便吃吃","7","30.61316","104.07684","104.07684","30.61316","成都餐厅>>武侯区>>科华北路>>川菜>>川菜>>香蒸府","","","","","7.3","7.5","7.4","19","4","8","3","0","1","锅边馍馍,羊蝎子,烂肉粉条,粉蒸牛肉,泡红椒,粉蒸排骨,粉蒸鱼,芋儿猪手,糯米排骨,粉蒸肥肠,蒸胡豆,蒸茄子,海带掌,酸辣海带掌","","0","",""
"10004336","肥妈大碗粉牛骨汤(景腾店)","","广东","广州","guangzhou","4","越秀区","美食","10","简餐快餐","g210","惠福东路455号景腾大厦","北京路","","","16","2.0","http://i1.dpfile.com/pc/9c3f15a30617bca3528c320bce8bc766/28096449_m.jpg","","简餐快餐,粥粉面,北京路","7","23.12126","113.26688","113.26688","23.12126","广州餐厅>>越秀区>>北京路>>简餐快餐>>肥妈大碗粉牛骨汤(景腾店)","","","","","5.9","5.8","5.4","10","0","3","3","1","3","牛骨汤,牛骨汤大碗粉","","1","",""
"10004337","老庄镇江锅盖面","","上海","上海","shanghai","1","闸北区","美食","10","小吃快餐","g112","中山北路456号(近西藏北路)","北区汽车站","18202121098","10:00-21:30","20","3.0","http://i1.dpfile.com/pc/f26d4d209683cd8813f5c53a9dcf99cd/40685727_m.jpg","","面馆,陆家嘴","7","31.26264","121.46754","121.46754","31.26264","上海餐厅>>闸北区>>北区汽车站>>小吃快餐>>面馆>>老庄镇江锅盖面","","","","","6.7","6.9","6.7","33","2","9","13","1","3","招牌牛肉面,肴肉面,黄鳝面,辣酱面,菌菇香肠面","","0","",""
"10004387","唐古拉雪莲火锅","","天津","天津","tianjin","10","河西区","美食","10","火锅","g110","广东路广顺园4门1楼6号(近广顺道)","图书大厦","13682166637,13652155741","11:00 —10:00","54","3.0","http://i2.dpfile.com/pc/7d16f73ad20fd3830d2e659864e554ec/44672461_m.jpg","","火锅,图书大厦,免费停车,可以刷卡,无线上网,朋友聚餐,家庭聚会,休闲小憩,情侣约会,供应早餐,有生日优惠,供应夜宵","7","39.10092","117.21587","117.21587","39.10092","天津餐厅>>河西区>>图书大厦>>火锅>>唐古拉雪莲火锅","","","","","6.5","6.7","6.9","24","1","3","0","0","0","羊肉,羊蝎子,雪莲锅,千叶豆腐,羊肉串,自制药酒,干藏羊肉,云吞,土豆粉","","0","￥159 - 价值200元！ 唐古拉雪莲火锅代金券;￥79 - 价值100元！ 唐古拉雪莲火锅代金券;￥85 - 价值180元！ 唐古拉雪莲火锅双人套餐","会员专享8.8折"
"10004388","Q记港饮专门店(中山路店)","","江苏","南京","nanjing","5","鼓楼区","美食","10","面包甜点","g117","中山路248号(近地铁大厦)","南大/南师大","025-84588380","11:00-22:00","27","4.5","http://i1.dpfile.com/pc/df4bb458ed201869350c7c2af309208e/29753046_m.jpg","店面“小小的”，却布置得“清新雅致”，特别是墙上的“藤蔓图案”，十分“有个性”。甜品里最哈芒果西米捞，芒果香味“浓郁”，西米“QQ滑滑”；双皮奶和红豆糕也“蛮地道”。逛街逛“累”了，不妨来这里坐一坐，歇一歇，不要太“惬意”哦。","甜品饮品,南大/南师大,无线上网,休闲小憩,有下午茶,随便吃吃,可送外卖,朋友聚餐,情侣约会","7","32.05265","118.78422","118.78422","32.05265","南京餐厅>>鼓楼区>>南大/南师大>>面包甜点>>甜品饮品>>Q记港饮专门店(中山路店)","","","下午茶","","8.5","8.7","8.7","91","30","38","8","0","1","丝袜奶茶,木糠蛋糕,法式烤布蕾,鲜杂水果小丸子,榴莲班戟,椰汁雪藏,榴莲雪藏,原味木糠蛋糕,港式丝袜奶茶,红豆白雪冰,最佳搭档,鸳鸯咖啡,意式奶冻,奶茶,白雪红豆冰,普洱奶茶,榴莲金露","","1","","会员专享9折"
"10004477","N2冰淇淋","","上海","上海","shanghai","1","静安区","美食","10","面包甜点","g117","南京西路1818号1788广场美食街B1-11室","静安寺","","","29","4.5","http://i2.dpfile.com/pc/2697d72d893cce3371aca9cef720cf2d/40899106_m.jpg","","冰淇淋,静安寺,休闲小憩,随便吃吃,无线上网,可以刷卡,情侣约会","7","31.2224","121.44439","121.44439","31.2224","上海餐厅>>静安区>>静安寺>>面包甜点>>冰淇淋>>N2冰淇淋","","","","","8.6","8.2","8.7","167","47","76","30","2","0","芒果香蕉大杯,芒果香蕉,白巧克力薄荷,草莓酸奶冰淇淋,抹茶分子冰淇淋,抹茶味,爆米花冰淇淋,芒果香蕉分子冰淇淋,榴莲分子冰淇林,猩猩香蕉冰淇淋,黑巧克力焦糖冰糕,紫薯冰淇淋,酸奶冰淇淋,清新抹茶,费列罗榛子","","0","",""
"10004547","daozao料理美术馆(奥帆店)","","山东","青岛","qingdao","21","市南区","美食","10","日本料理","g113","新会路12号（奥帆中心2号门） 中航翔通游艇会一层(近海尔洲际酒店)","香港中路沿线","0532-89098118","午市：11:30-13:30 晚市：17:30-20:30","188","4.0","http://i1.dpfile.com/pc/c84449782582335ee79ec37ee582beee/35140116_m.jpg","","日本料理,自助餐,香港中路沿线,可以刷卡,情侣约会,免费停车,朋友聚餐,无线上网,商务宴请,家庭聚会,有露天位,可自带酒水,有生日优惠","7","36.05786","120.39636","120.39636","36.05786","青岛餐厅>>市南区>>香港中路沿线>>日本料理>>daozao料理美术馆(奥帆店)","","","免费停车","","8.1","8.4","8.2","187","27","24","24","7","7","和风熏牛肉,三文鱼,盐烤鲜虾,芝士蛋糕,鳕鱼西京烧,烤银鳕鱼,帝王蟹肉色拉,甜虾,生鱼片类,哈根达斯,泰风野菜卷,蒜香牛小排,提拉米苏,雅片鱼,焗烤鲜虾,金枪鱼,糕点类,菠萝虾球,鲍片色拉,饮品类,当过牛尾.,香煎鲟鱼,马铃薯色拉,牛舌,热菜们","","1","",""
"10004550","星巴克(万达广场店)","StarBuck","福建","厦门","xiamen","15","集美区","美食","10","咖啡厅","g132","银江路137号万达广场1楼","集美学村","","","34","0.0","http://i3.dpfile.com/pc/4434f7143ab139de572621054dbd40df/32849237_m.jpg","","咖啡厅,集美学村,无线上网","7","24.50429","118.17706","118.17706","24.50429","厦门餐厅>>集美区>>集美学村>>咖啡厅>>星巴克(万达广场店)","","","","","","","","9","0","1","1","0","0","吞拿魚三明治,摩卡（热）,香草星冰樂,中国茶,咖啡星冰乐","","1","",""
"10004593","元祖蛋糕店（舜耕路店）","Ganso","山东","济南","jinan","22","市中区","美食","10","面包甜点","g117","市中区舜耕路60-5号（舜耕路与玉函北路交口）(山东省社会主义学院北临)","济大/会展中心","0531-82766891","8:00-21：00","15","4.0","http://i1.dpfile.com/pc/cb58e95f41dfc4cdf0a5c2f0a7d8c883/43271355_m.jpg","“济南最高级的西点店”之一。他家的东西的确是“用心”做出来的——芝士蛋糕“直接用芝士混合鸡蛋等材料经过冷冻成型”，口味“非常浓郁”；铜锣烧包装“很可爱”，“喜欢叮当猫”的一定得去试一下。店面“精致”、“温馨”，招人“喜欢”。虽然价格“高”了些，但每次经过还是会“忍不住”去买些回来“解解馋”。","面包西点,济大/会展中心,可以刷卡","7","36.61523","117.01674","117.01674","36.61523","济南餐厅>>市中区>>济大/会展中心>>面包甜点>>面包西点>>元祖蛋糕店（舜耕路店）","","","","","7.8","7.9","7.9","20","8","6","3","0","0","元祖生日蛋糕,咖啡卷,桂圆核桃糕,凤梨酥,大福,虎皮卷,铜锣烧,冰皮","","1","￥16.8 - 价值20元！ 元祖蛋糕店代金券1张;￥85 - 价值100元！ 元祖蛋糕店代金券1张;￥42.5 - 价值50元！ 元祖蛋糕店代金券1张",""
"10004641","金簋小山城(大连店)","","辽宁","大连","dalian","19","西岗区","美食","10","火锅","g110","高尔基路199号(上岛咖啡对面)","奥林匹克广场","0411-84394700","10：00—24:00点餐到23:30","93","3.0","http://i2.dpfile.com/pc/5c92a942f830da06bd5b8b0d310fd647/40173076_m.jpg","","火锅,奥林匹克广场","7","38.90236","121.60383","121.60383","38.90236","大连餐厅>>西岗区>>奥林匹克广场>>火锅>>金簋小山城(大连店)","","","","","6.7","7.1","7.0","19","2","1","0","0","0","馋嘴蛙锅,传统鸳鸯锅,馋嘴蛙,川北凉粉,小龙虾","","0","￥78 - 价值100元！ 金簋小山城代金劵",""
"10004660","Caffebene(莘庄龙之梦店)","咖啡陪你","上海","上海","shanghai","1","闵行区","美食","10","其他","g118","沪闵路6088号凯德龙之梦1楼39号(观光电梯旁)","莘庄","021-54716887","","43","4.5","http://i2.dpfile.com/pc/82313e9a69e6f4b6302b79ff76c91c89/39169774_m.jpg","","更多咖啡厅,莘庄,无线上网,可以刷卡,有下午茶,休闲小憩,情侣约会,有露天位,朋友聚餐,随便吃吃,有无烟区,商务宴请","7","31.10814","121.37769","121.37769","31.10814","上海餐厅>>闵行区>>莘庄>>其他>>咖啡厅>>更多咖啡厅>>Caffebene(莘庄龙之梦店)","","","外送,早餐,下午茶","","8.4","9.0","8.8","363","105","117","63","14","8","冰激凌华夫,华夫饼,青葡萄莫西多,奥趣黑白刨冰,绿茶冰沙,摩卡冰沙,焦糖香蕉华夫,焦糖拿铁,芒果刨冰,白摩卡,咖啡,焦糖肉桂吐司,陪你猪排,抹茶刨冰,蓝莓酸奶华夫饼,焦糖香蕉华夫饼,香草冰沙,拿铁,蓝莓奶油芝士华夫,蓝莓酸奶格子饼,蒜香面包,柚子花开,白摩卡冰沙,香草拿铁,咖啡刨冰","","1","",""
"10004675","米迦勒砂锅米线","","广东","深圳","shenzhen","7","福田区","美食","10","小吃快餐","g112","上步南路玉丰楼(近上步大厦)","华强南","0755-83628819","11：00-22：00","16","0.0","http://i2.dpfile.com/pc/e3ea34e1a13e4c9561a9d74b8aa8b87d/28057936_m.jpg","","粥粉面,华强南,无线上网","7","22.53816","114.09613","114.09613","22.53816","深圳餐厅>>福田区>>华强南>>小吃快餐>>粥粉面>>米迦勒砂锅米线","","","","","","","","7","5","2","0","0","0","菇类砂锅米线","","0","",""
"10004677","重庆巴巴烫火锅(长发银座店)","","江苏","南京","nanjing","5","秦淮区","美食","10","火锅","g110","洪武路199号长发银座1楼(近户部街)","新街口地区","","10:00至凌晨4点","53","0.0","http://i2.dpfile.com/pc/60c530f4a5bae6a24be0acd15c2229e7/30389989_m.jpg","","火锅,新街口地区","7","32.03556","118.78751","118.78751","32.03556","南京餐厅>>秦淮区>>新街口地区>>火锅>>重庆巴巴烫火锅(长发银座店)","","","","","","","","8","0","0","2","0","0","牛蛙火锅（大份）","","1","",""
"10004679","兆果炭烧","","辽宁","沈阳","shenyang","18","和平区","美食","10","烧烤","g508","安图北街(近珲春北路)","西塔","024-62800877","10：30－23：00","88","0.0","http://i3.dpfile.com/pc/2bcffccf912d11803949ab928a65a196/43094492_m.jpg","","烤串,西塔,无线上网,有下午茶,有露天位,朋友聚餐,休闲小憩,可送外卖,供应夜宵,家庭聚会,免费停车,有无烟区","7","41.80917","123.41004","123.41004","41.80917","沈阳餐厅>>和平区>>西塔>>烧烤>>烤串>>兆果炭烧","","","","","","","","10","1","1","0","0","0","扇贝,羊肉味道,发财锅,生蚝,蔬菜汇,虾蟹侬,炭烤脑花,黑鱼俩吃,黑鱼串,肉筋串,沙茶锅,总经理冷面,牛筋炖羊肉,烤扇贝,黑鱼两吃","","0","",""
"10004876","祥和怡家","","上海","上海","shanghai","1","徐汇区","美食","10","本帮江浙菜","g101","宛平南路404号(近零陵路)","肇嘉浜路沿线","021-54245270","10：00-24：00","49","2.0","http://i2.dpfile.com/pc/8fec9e269101dead7c13024ef4e72767/28040110_m.jpg","","本帮菜,肇嘉浜路沿线,可送外卖","7","31.19054","121.44763","121.44763","31.19054","上海餐厅>>徐汇区>>肇嘉浜路沿线>>本帮江浙菜>>本帮菜>>祥和怡家","","","","","5.6","6.1","5.7","18","0","1","1","2","0","干煸茶树菇,双椒鱼头,锅包肉,沙津牛排,沙律小牛排,沙律牛排","","0","",""
"10004935","扇贝盛宴","扇贝海鲜烧烤","黑龙江","哈尔滨","haerbin","79","道里区","美食","10","鱼菜/海鲜","g251","哈药路32号(近真味楼)","新阳路","0451-84521957","9:00-24:00","44","3.0","http://i1.dpfile.com/pc/34a198989d5201b6e91d8f6a457182d2/29270403_m.jpg","","海鲜,新阳路,有露天位,休闲小憩,朋友聚餐","7","45.74819","126.61148","126.61148","45.74819","哈尔滨餐厅>>道里区>>新阳路>>鱼菜/海鲜>>海鲜>>扇贝盛宴","","","","","6.8","6.6","6.2","28","8","3","5","3","4","碳烤生蚝,辣炒黄蚬子,蒜蓉扇贝,麻辣小龙虾,蒜蓉粉丝扇贝,辣炒海螺丝","","0","￥48 - 价值96元！ 扇贝盛宴双人套餐;￥90 - 价值100元！ 扇贝盛宴代金券",""
"10004948","亮仔甜品","","陕西","西安","xian","17","碑林区","美食","10","小吃快餐","g112","兴庆路常春藤花园华润万家1楼","金花路沿线","","","12","0.0","http://i2.dpfile.com/pc/c87639a5a13da9fe5690d8a9e687522a/28041085_m.jpg","","熟食/甜食,金花路沿线","7","34.2483","108.98996","108.98996","34.2483","西安餐厅>>碑林区>>金花路沿线>>小吃快餐>>熟食/甜食>>亮仔甜品","","","","","","","","5","0","2","0","0","0","酸奶","","0","",""
"10004972","来烫麻辣烫(建外soho店)","","北京","北京","beijing","2","朝阳区","美食","10","小吃快餐","g112","东三环中路39号建外SOHO东区8号楼2楼(近马妈妈Mamama)","国贸","010-57201857","早9:00-晚9:00 周日休息","29","3.0","http://i3.dpfile.com/pc/e95fc80cb3e0bbc357d7544d3bbe54c0/30400451_m.jpg","","麻辣烫,国贸,休闲小憩,随便吃吃,无线上网,可送外卖,朋友聚餐,情侣约会,有下午茶","7","39.9057","116.45818","116.45818","39.9057","北京餐厅>>朝阳区>>国贸>>小吃快餐>>麻辣烫>>来烫麻辣烫(建外soho店)","","","","","6.1","6.9","6.7","16","1","3","4","1","1","麻辣烫,招牌宽粉,北冰洋,蔬菜炒米,招牌大宽粉,蔬菜炒饭,食神蛋炒饭","","0","",""
"10004975","锦华玉食梁山鸡","","四川","成都","chengdu","8","青羊区","美食","10","火锅","g110","金阳路中段121号农业银行旁广场内","金沙","028-69168733","10:30-22:30","48","3.0","http://i2.dpfile.com/pc/d979fe70ea63a2df8e4c7e81a7a484f8/28064026_m.jpg","","其他火锅,金沙,免费停车,无线上网,家庭聚会,情侣约会,朋友聚餐","7","30.68022","104.00334","104.00334","30.68022","成都餐厅>>青羊区>>金沙>>火锅>>其他火锅>>锦华玉食梁山鸡","","","","","6.7","6.7","6.6","26","2","1","0","0","0","白味药膳滋补鸡,红味药膳滋补鸡（,现炸酥肉,红味药膳滋补鸡","","0","￥168 - 价值276元！ 锦华玉食梁山鸡8人套餐;￥98 - 价值160元！ 锦华玉食梁山鸡4人美食套餐;￥90 - 价值152元！ 锦华玉食梁山鸡4人滋补套餐;￥148 - 价值252元！ 锦华玉食梁山鸡8人滋补套餐;￥69 - 价值100元！ 锦华玉食梁山鸡代金券;￥35 - 价值50元！ 锦华玉食梁山鸡代金券;￥60 - 价值104元！ 锦华玉食梁山鸡2人滋补排骨套餐;￥68 - 价值106元！ 锦华玉食梁山鸡2人凉山鸡套餐",""
"10004978","犇面馆","","黑龙江","哈尔滨","haerbin","79","南岗区","美食","10","小吃快餐","g112","学府路1-1号凯德广场B1楼","学府路","13936437077","","16","3.0","http://i3.dpfile.com/pc/07cf1c311f53fc1f75ae5fe4227d7fd0/43504040_m.jpg","","小吃快餐,学府路","7","45.71762","126.61084","126.61084","45.71762","哈尔滨餐厅>>南岗区>>学府路>>小吃快餐>>犇面馆","","","","","6.1","6.7","6.8","15","1","2","3","4","1","原汁牛肉面,干豆腐丝,豆芽拌菜","","0","￥9.8 - 价值13元！ 犇面馆面食3选1;￥14.9 - 价值19元！ 犇面馆单人套餐",""
